symbol,direction,entry_time,entry_price,exit_time,exit_price,size_units,pnl,risk_dollars,exit_reason,r_multiple,sweep_penetration_price,sweep_penetration_pips,sweep_penetration_atr
GBP_USD,long,2020-08-31 07:00:00+00:00,1.3336869714285713,2020-08-31 07:15:00+00:00,1.3323121142857142,18183,-24.99902742857105,24.99902742857105,stop_loss,-1.0,0.0010299999999998644,10.299999999998644,1.2138047138045878
GBP_USD,long,2020-09-02 07:00:00+00:00,1.337143757142857,2020-09-02 07:00:00+00:00,1.3358249714285713,18909,-24.93691907142993,24.93691907142993,stop_loss,-1.0,0.0007900000000000684,7.900000000000684,1.1484942886813008
GBP_USD,long,2020-09-03 06:15:00+00:00,1.3301952857142856,2020-09-03 06:30:00+00:00,1.3286588571428573,16190,-24.874778571424624,24.874778571424624,stop_loss,-1.0,0.0005999999999999339,5.999999999999339,0.7850467289718811
GBP_USD,long,2020-09-04 07:00:00+00:00,1.3262942714285713,2020-09-04 07:00:00+00:00,1.325942914285714,70620,-24.81284142858098,24.81284142858098,stop_loss,-1.0,0.00018999999999991246,1.8999999999991246,0.266266266266151
GBP_USD,long,2020-09-07 07:15:00+00:00,1.3211281285714285,2020-09-07 07:30:00+00:00,1.3224687714285712,18461,24.749607785712282,24.749607785712282,take_profit,1.0,0.0007999999999999119,7.999999999999119,0.8825847123718893
EUR_USD,short,2020-09-08 06:15:00+00:00,1.181739342857143,2020-09-08 07:00:00+00:00,1.1807460571428574,24980,24.812277142853926,24.812277142853926,take_profit,1.0,0.0005699999999999594,5.699999999999594,1.0697050938336372
GBP_USD,long,2020-09-08 07:45:00+00:00,1.3130111714285715,2020-09-08 07:45:00+00:00,1.3135170285714286,49173,24.87451328571284,24.87451328571284,take_profit,1.0,0.0002500000000000835,2.500000000000835,0.2361673414305844
EUR_USD,short,2020-09-09 08:15:00+00:00,1.1776360142857143,2020-09-09 08:45:00+00:00,1.1765060857142857,22069,24.936393642857187,24.936393642857187,take_profit,1.0,0.00046999999999997044,4.699999999999704,0.6721144024514565
GBP_USD,long,2020-09-09 08:00:00+00:00,1.2954123857142859,2020-09-09 11:30:00+00:00,1.2919004571428572,7100,-24.934692857143624,24.934692857143624,stop_loss,-1.0,0.0033000000000000806,33.0000000000008,2.948308870453237
EUR_USD,short,2020-09-10 07:00:00+00:00,1.1825510285714287,2020-09-10 08:30:00+00:00,1.1836658857142859,22367,-24.936009714286886,24.936009714286886,stop_loss,-1.0,0.0008099999999999774,8.099999999999774,1.8057324840763644
EUR_USD,short,2020-09-11 08:00:00+00:00,1.1833466857142856,2020-09-11 08:30:00+00:00,1.1848932571428572,16083,-24.873508285717353,24.873508285717353,stop_loss,-1.0,0.0007900000000000684,7.900000000000684,1.186695278970004
EUR_USD,short,2020-09-14 07:15:00+00:00,1.1850707571428571,2020-09-14 07:15:00+00:00,1.1855069714285715,56881,-24.81230478572004,24.81230478572004,stop_loss,-1.0,9.000000000014552e-05,0.9000000000014552,0.1947449768163898
EUR_USD,short,2020-09-15 06:30:00+00:00,1.1892199857142858,2020-09-15 07:00:00+00:00,1.1884699142857142,32997,24.750106928574787,24.750106928574787,take_profit,1.0,5.999999999994898e-05,0.5999999999994898,0.11982881597705906
