period,symbol,direction,entry_time,entry_price,exit_time,exit_price,size_units,pnl,risk_dollars,exit_reason,r_multiple
train,GBP_USD,long,2020-08-26 07:45:00+00:00,1.3160569000000002,2020-08-26 12:30:00+00:00,1.3125924,7216,-24.99983200000147,24.99983200000147,stop_loss,-1.0
train,EUR_USD,short,2020-08-27 07:30:00+00:00,1.182186457142857,2020-08-27 13:00:00+00:00,1.1849441714285716,9042,-24.935252571430276,24.935252571430276,stop_loss,-1.0
train,GBP_USD,long,2020-08-28 07:15:00+00:00,1.327711942857143,2020-08-31 00:00:00+00:00,1.336761657142857,2748,24.868614857142667,24.868614857142667,take_profit,1.0
train,GBP_USD,short,2020-08-31 06:30:00+00:00,1.332364957142857,2020-08-31 14:30:00+00:00,1.3369301714285715,5462,-24.93520042857225,24.93520042857225,stop_loss,-1.0
train,EUR_USD,long,2020-08-28 07:15:00+00:00,1.1888218857142858,2020-09-01 01:45:00+00:00,1.1965713142857142,3209,24.86791628571358,24.86791628571358,take_profit,1.0
train,GBP_USD,long,2020-09-01 08:00:00+00:00,1.3435058714285715,2020-09-02 07:00:00+00:00,1.3356365142857145,3168,-24.93012342857088,24.93012342857088,stop_loss,-1.0
train,GBP_USD,short,2020-09-03 06:30:00+00:00,1.3288831714285714,2020-09-04 13:00:00+00:00,1.3219090285714286,3566,24.86979342857129,24.86979342857129,take_profit,1.0
train,EUR_USD,short,2020-09-07 06:30:00+00:00,1.1824523,2020-09-07 07:30:00+00:00,1.1843108000000002,13415,-24.93177750000278,24.93177750000278,stop_loss,-1.0
train,GBP_USD,short,2020-09-07 06:30:00+00:00,1.3201055,2020-09-07 13:15:00+00:00,1.314413,4380,24.933149999999465,24.933149999999465,take_profit,1.0
train,GBP_USD,short,2020-09-08 08:30:00+00:00,1.3122640714285714,2020-09-08 09:30:00+00:00,1.3076944285714285,5456,24.931971428571646,24.931971428571646,take_profit,1.0
train,GBP_USD,short,2020-09-09 06:30:00+00:00,1.2941451428571429,2020-09-09 11:30:00+00:00,1.2909508571428572,7825,24.995285714285643,24.995285714285643,take_profit,1.0
train,EUR_USD,long,2020-09-10 06:15:00+00:00,1.1831972714285715,2020-09-10 12:30:00+00:00,1.1862736285714286,8145,25.05692892857144,25.05692892857144,take_profit,1.0
train,GBP_USD,long,2020-09-11 07:15:00+00:00,1.283849357142857,2020-09-11 08:30:00+00:00,1.2794425714285715,5700,-25.1186785714276,25.1186785714276,stop_loss,-1.0
train,EUR_USD,long,2020-09-14 07:30:00+00:00,1.1857501285714287,2020-09-14 12:45:00+00:00,1.1883007714285716,9824,25.05751542857189,25.05751542857189,take_profit,1.0
train,GBP_USD,long,2020-09-14 07:30:00+00:00,1.2838870571428571,2020-09-14 13:00:00+00:00,1.2886623428571427,5247,25.055924142856217,25.055924142856217,take_profit,1.0
train,GBP_USD,long,2020-09-15 06:30:00+00:00,1.2880864,2020-09-16 09:45:00+00:00,1.2946484,3837,25.178393999999834,25.178393999999834,take_profit,1.0
train,EUR_USD,long,2020-09-18 07:00:00+00:00,1.1866406571428572,2020-09-18 08:00:00+00:00,1.1843573714285716,11056,-25.24400685714158,25.24400685714158,stop_loss,-1.0
train,GBP_USD,short,2020-09-21 07:45:00+00:00,1.2914885285714286,2020-09-21 08:00:00+00:00,1.2867611714285714,5326,25.17790414285752,25.17790414285752,take_profit,1.0
train,EUR_USD,short,2020-09-21 07:45:00+00:00,1.1835256428571428,2020-09-21 08:30:00+00:00,1.179883857142857,6914,25.179306428572445,25.179306428572445,take_profit,1.0
train,GBP_USD,short,2020-09-22 06:30:00+00:00,1.2783554857142858,2020-09-22 07:30:00+00:00,1.2743029142857143,6245,25.30830857142912,25.30830857142912,take_profit,1.0
train,EUR_USD,short,2020-09-22 06:30:00+00:00,1.1742394571428572,2020-09-22 14:30:00+00:00,1.1713167428571427,8659,25.30778300000138,25.30778300000138,take_profit,1.0
train,GBP_USD,short,2020-09-23 06:15:00+00:00,1.2686339142857144,2020-09-23 12:45:00+00:00,1.274724342857143,4176,-25.43362971428633,25.43362971428633,stop_loss,-1.0
train,GBP_USD,long,2020-09-25 06:30:00+00:00,1.2765141142857142,2020-09-25 07:00:00+00:00,1.2785846857142855,12253,25.370711714284948,25.370711714284948,take_profit,1.0
train,EUR_USD,long,2020-09-25 07:30:00+00:00,1.1684917285714285,2020-09-25 08:15:00+00:00,1.1662030857142853,11113,-25.43368807143173,25.43368807143173,stop_loss,-1.0
train,GBP_USD,long,2020-09-28 06:30:00+00:00,1.2781911142857143,2020-09-28 08:30:00+00:00,1.2811866857142857,8469,25.369494428571446,25.369494428571446,take_profit,1.0
train,EUR_USD,short,2020-09-30 06:15:00+00:00,1.1725974,2020-09-30 09:15:00+00:00,1.1697144000000002,8822,25.433825999997765,25.433825999997765,take_profit,1.0
train,GBP_USD,short,2020-09-30 06:15:00+00:00,1.2825239714285714,2020-09-30 14:00:00+00:00,1.2872441142857143,5388,-25.43212971428562,25.43212971428562,stop_loss,-1.0
train,GBP_USD,long,2020-10-01 06:30:00+00:00,1.2948892571428572,2020-10-01 07:30:00+00:00,1.2914029714285715,7295,-25.43245428571392,25.43245428571392,stop_loss,-1.0
train,GBP_USD,long,2020-10-02 07:30:00+00:00,1.2921381714285713,2020-10-06 07:00:00+00:00,1.3005590285714284,3012,25.36362171428531,25.36362171428531,take_profit,1.0
train,GBP_USD,short,2020-10-06 08:00:00+00:00,1.2978519714285714,2020-10-06 10:45:00+00:00,1.2956018285714284,11303,25.433364714288338,25.433364714288338,take_profit,1.0
train,EUR_USD,long,2020-10-07 06:45:00+00:00,1.1752505285714285,2020-10-07 12:45:00+00:00,1.1779631714285712,9399,25.496130214284026,25.496130214284026,take_profit,1.0
train,EUR_USD,long,2020-10-08 06:45:00+00:00,1.1779269,2020-10-08 08:00:00+00:00,1.1760124,13351,-25.56048950000055,25.56048950000055,stop_loss,-1.0
train,GBP_USD,long,2020-10-08 06:30:00+00:00,1.2942025714285714,2020-10-08 10:15:00+00:00,1.2913297142857143,8897,-25.55980999999981,25.55980999999981,stop_loss,-1.0
train,GBP_USD,long,2020-10-09 07:30:00+00:00,1.2966135714285714,2020-10-09 08:15:00+00:00,1.2933057142857143,7688,-25.430805714285267,25.430805714285267,stop_loss,-1.0
train,GBP_USD,long,2020-10-12 06:15:00+00:00,1.3055591857142856,2020-10-12 08:30:00+00:00,1.3020932571428572,7319,-25.36713121428495,25.36713121428495,stop_loss,-1.0
train,EUR_USD,short,2020-10-13 07:00:00+00:00,1.1786311142857142,2020-10-13 13:30:00+00:00,1.1757966857142856,8928,25.305778285714283,25.305778285714283,take_profit,1.0
train,GBP_USD,short,2020-10-14 06:15:00+00:00,1.2906167285714285,2020-10-14 07:15:00+00:00,1.2868403714285712,6717,25.365790928572412,25.365790928572412,take_profit,1.0
train,GBP_USD,short,2020-10-15 06:15:00+00:00,1.3005395714285715,2020-10-15 08:15:00+00:00,1.2980974285714284,10414,25.43247571428782,25.43247571428782,take_profit,1.0
train,GBP_USD,short,2020-10-16 06:30:00+00:00,1.2885209142857141,2020-10-16 06:45:00+00:00,1.2908063428571426,11155,-25.49395571428423,25.49395571428423,stop_loss,-1.0
train,EUR_USD,short,2020-10-16 06:30:00+00:00,1.1697929142857142,2020-10-16 07:30:00+00:00,1.1715383428571429,14607,-25.495475142858663,25.495475142858663,stop_loss,-1.0
train,GBP_USD,long,2020-10-19 07:00:00+00:00,1.2948912857142858,2020-10-19 08:00:00+00:00,1.2979477142857145,8300,25.36835714285852,25.36835714285852,take_profit,1.0
train,EUR_USD,short,2020-10-20 07:15:00+00:00,1.1762703285714287,2020-10-20 08:00:00+00:00,1.178038685714286,14381,-25.43074407143054,25.43074407143054,stop_loss,-1.0
train,GBP_USD,short,2020-10-20 07:15:00+00:00,1.292444,2020-10-20 08:30:00+00:00,1.2957940000000001,7591,-25.429850000001412,25.429850000001412,stop_loss,-1.0
train,GBP_USD,long,2020-10-21 06:15:00+00:00,1.2988014285714284,2020-10-21 07:45:00+00:00,1.3027785714285713,6362,25.302582857143136,25.302582857143136,take_profit,1.0
train,GBP_USD,long,2020-10-22 06:15:00+00:00,1.3146396857142857,2020-10-22 07:00:00+00:00,1.312451257142857,11587,-25.357321857143727,25.357321857143727,stop_loss,-1.0
train,EUR_USD,long,2020-10-21 06:15:00+00:00,1.1853388571428571,2020-10-22 10:00:00+00:00,1.1826245714285715,9322,-25.302571428571007,25.302571428571007,stop_loss,-1.0
train,GBP_USD,short,2020-10-23 06:15:00+00:00,1.3054598142857141,2020-10-23 07:15:00+00:00,1.3081207428571426,9482,-25.23092471428525,25.23092471428525,stop_loss,-1.0
train,GBP_USD,short,2020-10-26 07:15:00+00:00,1.3001781428571428,2020-10-26 09:45:00+00:00,1.3055174285714286,4714,-25.169392857143112,25.169392857143112,stop_loss,-1.0
train,GBP_USD,short,2020-10-27 07:45:00+00:00,1.3011682285714286,2020-10-27 11:45:00+00:00,1.304467085714286,7610,-25.10430285714467,25.10430285714467,stop_loss,-1.0
train,GBP_USD,short,2020-10-28 08:15:00+00:00,1.3013315857142858,2020-10-28 11:30:00+00:00,1.2962395142857142,4918,25.04280728571512,25.04280728571512,take_profit,1.0
train,EUR_USD,short,2020-10-28 08:15:00+00:00,1.1758565857142858,2020-10-28 12:00:00+00:00,1.1729495142857143,8614,25.041513285714856,25.041513285714856,take_profit,1.0
train,EUR_USD,short,2020-10-29 08:00:00+00:00,1.173557757142857,2020-10-29 11:15:00+00:00,1.1712365428571425,10843,25.168926500002577,25.168926500002577,take_profit,1.0
train,GBP_USD,long,2020-10-30 09:30:00+00:00,1.294625557142857,2020-11-02 04:30:00+00:00,1.2901877714285714,5685,-25.228811785713965,25.228811785713965,stop_loss,-1.0
train,GBP_USD,short,2020-11-02 08:15:00+00:00,1.2882099571428571,2020-11-02 13:00:00+00:00,1.2939901714285713,4354,-25.16705299999954,25.16705299999954,stop_loss,-1.0
train,GBP_USD,long,2020-11-03 07:45:00+00:00,1.2939004285714286,2020-11-03 08:15:00+00:00,1.2962625714285716,10628,25.104854285715582,25.104854285715582,take_profit,1.0
train,EUR_USD,long,2020-11-03 08:00:00+00:00,1.1672396428571428,2020-11-03 11:30:00+00:00,1.170737857142857,7176,25.103185714285708,25.103185714285708,take_profit,1.0
train,GBP_USD,short,2020-11-04 08:15:00+00:00,1.2917646428571428,2020-11-05 19:30:00+00:00,1.3140714285714283,1131,-25.22897464285698,25.22897464285698,stop_loss,-1.0
train,EUR_USD,long,2020-11-06 07:30:00+00:00,1.1835432857142856,2020-11-06 11:15:00+00:00,1.187549714285714,6281,25.164377857142547,25.164377857142547,take_profit,1.0
train,EUR_USD,long,2020-11-09 07:15:00+00:00,1.1898030142857141,2020-11-09 08:30:00+00:00,1.1879379428571426,13528,-25.230686285715354,25.230686285715354,stop_loss,-1.0
train,EUR_USD,long,2020-11-10 08:45:00+00:00,1.1840800857142857,2020-11-10 09:45:00+00:00,1.1806896571428571,7423,-25.16715128571429,25.16715128571429,stop_loss,-1.0
train,GBP_USD,long,2020-11-10 08:30:00+00:00,1.321605557142857,2020-11-10 15:00:00+00:00,1.3274633428571427,4296,25.165047428571086,25.165047428571086,take_profit,1.0
train,GBP_USD,long,2020-11-11 07:15:00+00:00,1.3285442285714286,2020-11-11 09:30:00+00:00,1.3252930857142857,7741,-25.167096857143164,25.167096857143164,stop_loss,-1.0
train,GBP_USD,short,2020-11-12 08:00:00+00:00,1.3170432428571428,2020-11-12 18:00:00+00:00,1.3112394571428572,4325,25.101373214285378,25.101373214285378,take_profit,1.0
train,EUR_USD,long,2020-11-13 08:00:00+00:00,1.1816290857142857,2020-11-13 10:15:00+00:00,1.1833345142857143,14757,25.167009428572374,25.167009428572374,take_profit,1.0
train,GBP_USD,long,2020-11-13 08:00:00+00:00,1.3164277857142859,2020-11-15 23:45:00+00:00,1.3219167142857142,4585,25.166737499998998,25.166737499998998,take_profit,1.0
train,EUR_USD,long,2020-11-16 08:00:00+00:00,1.185667257142857,2020-11-16 10:00:00+00:00,1.1837609714285713,13268,-25.29259885714332,25.29259885714332,stop_loss,-1.0
train,EUR_USD,short,2020-11-17 07:45:00+00:00,1.1847822000000001,2020-11-17 08:30:00+00:00,1.1866612,13427,-25.229332999999517,25.229332999999517,stop_loss,-1.0
train,GBP_USD,short,2020-11-17 07:45:00+00:00,1.3202373285714284,2020-11-17 08:45:00+00:00,1.3227706857142858,9958,-25.227170428574052,25.227170428574052,stop_loss,-1.0
train,EUR_USD,long,2020-11-18 07:30:00+00:00,1.1882387428571428,2020-11-18 21:00:00+00:00,1.1850550285714285,7884,-25.10040342857146,25.10040342857146,stop_loss,-1.0
train,GBP_USD,long,2020-11-18 07:30:00+00:00,1.3278729,2020-11-19 00:00:00+00:00,1.3244284,7287,-25.100071500000528,25.100071500000528,stop_loss,-1.0
