symbol,direction,entry_time,entry_price,exit_time,exit_price,size_units,pnl,risk_dollars,exit_reason,r_multiple,stop_distance,target_distance,sweep_penetration_price,sweep_penetration_pips,sweep_penetration_atr,entry_hour_london,mae_price,mfe_price,mae_r,mfe_r,reached_half_r,reached_1r,reached_midpoint,reached_opposite_side,entry_cost_dollars,pnl_without_entry_cost
EUR_USD,long,2020-08-26 07:15:00+00:00,1.1810013714285714,2020-08-26 07:30:00+00:00,1.1819182285714287,27267,24.99994371428931,24.99994371428931,take_profit,1.0,0.0009168571428572271,0.0009168571428572271,0.0006200000000000649,6.200000000000649,1.090452261306621,8,0.0005713714285713323,0.0014086285714285385,0.6231847927701711,1.5363664693049024,True,True,True,False,2.218754742857805,27.218698457147113
GBP_USD,short,2020-08-26 08:00:00+00:00,1.3145306857142858,2020-08-26 08:30:00+00:00,1.316467257142857,12941,-25.061170857141033,25.061170857141033,stop_loss,-1.0,0.0019365714285712685,0.0019365714285712685,0.0006299999999999084,6.299999999999084,0.6523668639052425,8,0.0020993142857141933,0.00012068571428569541,1.0840365889643382,0.062319268220709476,False,False,False,False,1.2852261714273527,-23.77594468571368
EUR_USD,long,2020-08-27 06:45:00+00:00,1.1829791,2020-08-27 06:45:00+00:00,1.1835246,45829,24.999719499993837,24.999719499993837,take_profit,1.0,0.0005454999999999464,0.0005454999999999464,1.999999999990898e-05,0.1999999999990898,0.04395604395584247,7,0.0002991000000001076,0.0009208999999998913,0.5483043079745866,1.688175985334522,True,True,True,False,3.6250738999999363,28.624793399993774
GBP_USD,short,2020-08-27 08:00:00+00:00,1.3218039857142858,2020-08-27 08:00:00+00:00,1.3229440571428572,21983,-25.062190214285543,25.062190214285543,stop_loss,-1.0,0.0011400714285714937,0.0011400714285714937,0.0005800000000000249,5.800000000000249,0.7243532560214013,8,0.001196014285714142,0.00010398571428571479,1.0490696071672847,0.09120982394586329,False,False,False,False,2.1106820428566477,-22.951508171428895
GBP_USD,short,2020-08-28 07:30:00+00:00,1.3270066857142857,2020-08-28 09:00:00+00:00,1.329033257142857,12335,-24.997758571425887,24.997758571425887,stop_loss,-1.0,0.0020265714285712826,0.0020265714285712826,0.0017199999999999438,17.199999999999438,1.4754901960784133,8,0.0025933142857141878,0.0013066857142856048,1.2796559988721712,0.644776540250944,True,False,False,False,1.3977317142867796,-23.600026857139106
EUR_USD,long,2020-08-31 06:30:00+00:00,1.1898301142857144,2020-08-31 06:30:00+00:00,1.1901806857142858,71132,24.936846857142413,24.936846857142413,take_profit,1.0,0.0003505714285713922,0.0003505714285713922,0.00022999999999995246,2.2999999999995246,0.45480225988694173,7,0.00029011428571434905,0.00037988571428559936,0.8275468622659553,1.083618581906875,True,True,False,False,4.987369371441118,29.924216228583532
GBP_USD,long,2020-08-31 07:00:00+00:00,1.3336869714285713,2020-08-31 07:15:00+00:00,1.3323121142857142,18183,-24.99902742857105,24.99902742857105,stop_loss,-1.0,0.0013748571428571538,0.0013748571428571538,0.0010299999999998644,10.299999999998644,1.2138047138045878,7,0.0020669714285712626,0.0002530285714286151,1.5034081463007818,0.1840399002494069,False,False,False,False,1.9450614857119628,-23.053965942859087
GBP_USD,short,2020-09-01 08:45:00+00:00,1.3413412999999998,2020-09-01 09:30:00+00:00,1.3443048,8414,-24.934889000001,24.934889000001,stop_loss,-1.0,0.0029635000000000442,0.0029635000000000442,0.0023800000000000487,23.800000000000487,1.6585365853658927,9,0.0034287000000001733,0.0003412999999998778,1.1569765480007161,0.11516787582246422,False,False,False,False,0.830461800000994,-24.104427200000007
EUR_USD,long,2020-09-02 06:45:00+00:00,1.190012557142857,2020-09-02 07:00:00+00:00,1.1891297714285713,28177,-24.874253071427695,24.874253071427695,stop_loss,-1.0,0.0008827857142857609,0.0008827857142857609,9.000000000014552e-05,0.9000000000014552,0.1433447098978342,7,0.0020525571428571254,0.0007174428571430358,2.3250910267819593,0.8127032931468542,True,False,False,False,2.6079826142800435,-22.26627045714765
GBP_USD,long,2020-09-03 06:15:00+00:00,1.3301952857142856,2020-09-03 06:30:00+00:00,1.3286588571428573,16149,-24.811784999996064,24.811784999996064,stop_loss,-1.0,0.0015364285714283658,0.0015364285714283658,0.0005999999999999339,5.999999999999339,0.7850467289718811,7,0.001735285714285606,9.471428571439233e-05,1.1294281729428979,0.06164574616465226,False,False,False,False,2.023238999996453,-22.788545999999613
EUR_USD,long,2020-09-03 06:15:00+00:00,1.1806242285714286,2020-09-03 06:45:00+00:00,1.1794730857142857,21554,-24.8117331428582,24.8117331428582,stop_loss,-1.0,0.0011511428571428267,0.0011511428571428267,0.000220000000000109,2.20000000000109,0.30923694779131883,7,0.001744228571428641,9.577142857142285e-05,1.515214693472426,0.08319682303300789,False,False,False,False,1.384382628570215,-23.427350514287983
EUR_USD,long,2020-09-04 06:45:00+00:00,1.1841497857142858,2020-09-04 06:45:00+00:00,1.1838008571428573,70755,-24.688441071418616,24.688441071418616,stop_loss,-1.0,0.0003489285714285417,0.0003489285714285417,0.000140000000000029,1.40000000000029,0.28613138686135364,7,0.00071978571428577,6.021428571423293e-05,2.0628454452408675,0.17256908904796986,False,False,False,False,4.937688214286865,-19.75075285713175
